painting_no,technique_id,height_cm,width_cm,radius_cm,year,material_id,artist_id,owner_id,photo,AÇIKLAMA
443,1,25,17,,2006,2,1,1,,
444,1,"24,5",17,,2005,6,1,1,,
445,6,"12,5",30,,2010,,1,1,YOK,
446,1,15,25,,2001,,1,1,YOK,
447,1,"11,5",20,,2001,,1,1,YOK,
448,6,"17,5",22,,2009,,1,1,YOK,
449,6,19,20,,2009,,1,1,YOK,
450,6,"9,5",10,,2010,,1,1,YOK,
451,6,"11,5",20,,2009,,1,1,YOK,
452,6,"12,5","26,5",,2010,,1,1,YOK,
453,1,25,"17,5",,2008,3,1,1,,
454,1,25,"17,5",,2007,3,1,1,,
455,1,25,17,,2012,3,1,1,,
456,1,25,17,,2010,3,1,1,,
457,1,25,"17,5",,2010,3,1,1,,
458,6,13,25,,2010,,1,1,YOK,
459,1,22,17,,2006,2,1,1,,
460,1,"20,5","17,5",,2009,3,1,1,,
461,1,25,"17,5",,2012,3,1,1,,
462,6,8,12,,2010,,1,1,YOK,
463,1,18,24,,2009,3,1,1,,
464,9,14,20,,2012,,1,1,YOK,
465,1,25,"17,5",,2007,2,1,1,,
466,1,25,"17,5",,2009,6,1,1,,
467,1,15,24,,2010,,1,1,YOK,
468,1,25,"17,5",,2005,6,1,1,,
469,1,18,25,,2013,,1,1,YOK,
470,6,13,27,,2009,,1,1,YOK,
471,6,13,24,,2009,,1,1,YOK,
472,6,12,24,,2009,,1,1,YOK,
473,6,24,18,,2009,5,1,1,,
474,6,19,23,,2009,,1,1,YOK,
475,6,19,19,,2009,,1,1,YOK,
476,1,"14,5",26,,2001,,1,1,YOK,
477,9,"17,5",25,,2008,3,1,1,,
478,9,25,17,,2013,6,1,1,,
479,1,25,17,,2013,3,1,1,,
480,9,25,17,,2013,3,1,1,,
481,1,25,17,,2013,6,1,1,,
482,1,25,17,,2013,3,1,1,,
483,1,"15,5",25,,2010,,1,1,YOK,
484,1,"24,5","16,5",,2013,6,1,1,,
485,1,12,32,,2001,,1,1,YOK,
486,1,"17,5",25,,2013,6,1,1,,
487,6,18,24,,2009,5,1,1,,
488,1,25,"17,5",,2008,6,1,1,,
489,1,25,"17,5",,2009,3,1,1,,
490,1,"14,5",25,,2002,,1,1,YOK,
491,6,22,28,,2012,2,1,1,,
492,6,"18,5",28,,2012,2,1,1,,
493,6,"18,5","28,5",,2012,2,1,1,,
494,6,31,20,,2012,2,1,1,,
495,6,20,35,,2012,2,1,1,,
496,6,19,31,,2012,2,1,1,,
497,1,29,25,,2012,2,1,1,,
498,6,"24,5",30,,2012,2,1,1,,
499,1,25,21,,2009,6,1,1,,
500,1,24,"31,5",,2012,2,1,1,,
501,6,"17,5",35,,2009,2,1,1,,
502,1,"33,5","20,5",,2012,2,1,1,,
503,6,"21,5",42,,2012,2,1,1,,
504,1,35,25,,2009,2,1,1,,
505,1,29,25,,2006,2,1,1,,
506,1,"24,5","26,5",,2000,2,1,1,,
507,6,34,14,,2012,2,1,1,,
508,6,24,"24,5",,2012,2,1,1,,
509,6,"18,5","35,5",,2012,2,1,1,,
510,6,35,22,,2012,2,1,1,,
511,6,22,27,,2012,2,1,1,,
512,6,27,"32,5",,2012,2,1,1,,
513,6,"23,5",35,,2009,2,1,1,,
514,1,17,25,,2001,2,1,1,,
515,6,23,34,,2009,2,1,1,,
516,6,"16,5","40,5",,2009,2,1,1,,
517,1,35,15,,2005,6,1,1,,
518,1,"29,5",25,,2001,2,1,1,,
519,1,26,43,,2003,2,1,1,,
520,1,30,37,,2012,2,1,1,,
521,1,29,33,,2012,2,1,1,,
522,1,25,32,,2006,2,1,1,,
523,1,26,38,,1995,2,1,1,,
524,1,32,25,,2013,2,1,1,,
525,1,35,22,,2013,2,1,1,,
526,1,37,19,,2009,2,1,1,,
527,9,36,15,,2010,2,1,1,,
528,6,27,"17,5",,2010,2,1,1,,
529,6,"26,5","12,5",,2010,2,1,1,,
530,6,13,25,,2010,2,1,1,,
531,6,15,24,,2009,2,1,1,,
532,6,"9,5","25,5",,2011,2,1,1,,
533,6,"9,5","30,5",,2010,2,1,1,,
534,6,"32,5","10,5",,2011,2,1,1,,
535,6,"10,5","34,5",,2010,2,1,1,,
536,6,29,"12,5",,2010,2,1,1,,
537,6,19,19,,2009,2,1,1,,
538,6,"15,5",29,,2009,2,1,1,,
539,6,20,35,,2012,2,1,1,,
540,6,20,33,,2012,2,1,1,,
541,6,"18,5",35,,2012,2,1,1,,
542,6,"37,5",17,,2010,2,1,1,,
543,6,"19,5",30,,2009,2,1,1,,
544,6,"19,5",37,,2009,2,1,1,,
545,6,"20,5",38,,2009,2,1,1,,
546,6,20,"33,5",,2009,2,1,1,,
547,6,19,"29,5",,2009,2,1,1,,
548,6,38,"15,5",,2009,2,1,1,,
549,6,19,"29,5",,2009,2,1,1,,
550,6,27,"24,5",,2010,2,1,1,,
551,6,"18,5","36,5",,2009,2,1,1,,
552,6,24,31,,2010,2,1,1,,
553,6,"21,5",31,,2010,2,1,1,,
554,6,18,30,,2011,2,1,1,,
555,6,17,27,,2010,2,1,1,,
556,6,21,27,,2010,2,1,1,,
557,6,"16,5","29,5",,2011,2,1,1,,
558,6,"22,5","34,5",,2010,2,1,1,,
559,6,"17,5","27,5",,2010,2,1,1,,
560,6,16,"33,5",,2011,2,1,1,,
561,6,"19,5","25,5",,2011,2,1,1,,
562,6,18,24,,2000,3,1,1,,
563,1,22,35,,2011,2,1,1,,
564,1,20,43,,1976,2,1,1,,
565,1,"16,5",25,,2012,2,1,1,,
566,1,22,"35,5",,2005,2,1,1,,
567,1,25,35,,2008,2,1,1,,
568,6,16,"34,5",,2011,2,1,1,,
569,6,"17,5",33,,2010,2,1,1,,
570,6,"16,5","34,5",,2011,2,1,1,,
571,6,"16,5",30,,2011,2,1,1,,
572,6,"23,5",35,,2011,2,1,1,,
573,6,23,31,,2010,2,1,1,,
574,6,22,32,,2009,2,1,1,,
575,6,"22,5","34,5",,2011,2,1,1,,
576,6,23,"30,5",,2010,2,1,1,,
577,1,"24,5",30,,2008,2,1,1,BULANIK,
578,1,25,30,,2008,2,1,1,,
